ticker,security_name,gics_sector,gics_sub_industry,headquarters_location,cik,founded,status
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",91440,1920,active
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",2023554,1988,delisted_or_acquired
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",883241,1986,active
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",92122,1945,active
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",1964738,2023,delisted_or_acquired
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",1063761,2003,active
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",64040,1917,active
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",1032208,1998,active
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",1757898,1985,active
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",1022671,1993,active
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",93751,1792,active
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1137789,1979,active
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",16918,1945,active
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2005951,1934,active
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",93556,1843,active
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",4127,2002,active
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",1601712,2003,active
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764,1941,active
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",96021,1969,active
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717,1983 (1885),active
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",24545,"2005 (Molson 1786, Coors 1873)",active
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221,1993,active
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1094285,1960,active
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",842023,1976,active
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",1385157,2007,active
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",97210,1960,active
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",92230,1872,active
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",27419,1902,active
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198,1987,active
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",1973266,2023,active
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",97745,2006 (1902),active
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1283699,1994,active
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",1811074,1888,active
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1116132,2017,active
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1389170,2005,active
TRMB,Trimble Inc.,Information Technology,Application Software,"Westminster, Colorado",864749,1978,active
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1113169,1937,active
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",86312,1853,active
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",916365,1938,active
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",1318605,2003,active
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493,1935,active
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",1466258,1871,active
TTD,Trade Desk (The),Communication Services,Advertising,"Ventura, California",1671933,2009,active
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",946581,1993,active
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",97476,1930,active
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",217346,1923,active
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",860731,1966,active
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",100517,1967,active
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",1543151,2009,active
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",74208,1972,active
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915,1979,active
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",1403568,1990,active
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Eden Prairie, Minnesota",731766,1977,active
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",100885,1862,active
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1090727,1907,active
