ticker,security_name,gics_sector,gics_sub_industry,headquarters_location,cik,founded,status
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",1535527,2011,active
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",858877,1984,active
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",1057352,1987,active
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",277948,1980,active
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",723254,1929,active
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1058290,1994,active
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",1755672,2019,active
CVNA,Carvana,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",1690820,2012,active
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",64803,1996,active
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas",93410,1879,active
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",715957,1983,active
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",27904,1929,active
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",1792789,2012,active
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",1666700,2017 (1802),active
DDOG,Datadog,Information Technology,Application Software,"New York City, New York",1561550,2010,active
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",315189,1837,active
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",910521,1973,active
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",1571996,2016,active
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",29534,1939,active
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",1022079,1967,active
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",882184,1978,active
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",313616,1969,active
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1744489,1923,active
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",1297996,2004,active
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",935703,1986,active
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",765880,1985,active
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",29905,1955,active
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",1751788,2019 (1897),active
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1286681,1960,active
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",940944,1938,active
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",936340,1995,active
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160,1904,active
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",927066,1979,active
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012,1971,active
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",1093557,1999,active
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",712515,1982,active
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",1065088,1995,active
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31462,1923,active
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1047862,1823,active
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",33185,1899,active
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",1095073,1973,active
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",827052,1886,active
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1001250,1946,active
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039,2014 (1946),active
EME,Emcor,Industrials,Construction & Engineering,"Norwalk, Connecticut",105634,1994,active
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",32604,1890,active
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189,1999,active
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",1101239,1998,active
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",906107,1969,active
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",33213,1888,active
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",922621,1925,active
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",72741,1966,active
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",920522,1971,active
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1551182,1911,active
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",65984,1913,active
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1711269,1909,active
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1099800,1958,active
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1109357,2000,active
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",895126,1989,active
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",746515,1979,active
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",1324424,1996,active
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1289490,1977,active
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996,1903,active
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",1539838,2007,active
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",815556,1967,active
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",831259,1912,active
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1013237,1978,active
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911,1971,active
FDXF,FedEx Freight,Industrials,Cargo Ground Transportation,"Memphis, Tennessee",2082247,1982,delisted_or_acquired
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1031296,1997,active
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",1048695,1996,active
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",814547,1956,active
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",1136893,1968,active
FISV,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",798354,1984,active
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",35527,1858,active
FIX,Comfort Systems USA,Industrials,Construction & Engineering,"Houston, Texas",1035983,1997,active
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",1754301,2019,active
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",1754301,2019,active
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",34903,1962,active
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",1274494,1999,active
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",1262039,2000,active
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",1659166,2016,active
GD,General Dynamics,Industrials,Aerospace & Defense,"Reston, Virginia",40533,1899,active
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",1609711,1997,active
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",40545,1892,active
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",1932393,1994,active
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",849399,1982,active
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",1996810,2024,delisted_or_acquired
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",882095,1987,active
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704,1856,active
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",320335,1900,active
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",24741,1851,active
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858,1908,active
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1474735,1959,active
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",1652044,1998,active
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",1652044,1998,active
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",40987,1925,active
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",1123360,2000,active
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788,1989,active
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",886982,1869,active
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",277135,1927,active
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012,1919,active
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080,1923,active
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",49196,1866,active
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",860730,1968,active
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950,1978,active
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766,1810,active
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1501585,2011,active
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1585689,1919,active
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",773840,1906,active
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,"Menlo Park, California",1783879,2013,active
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",1645590,2015,active
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",47217,1939 (2015),active
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465,1891,active
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1000228,1932,active
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1070750,1993,active
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111,1894,active
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",48898,1888,active
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",49071,1961,active
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",4281,1888,active
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",1381197,1977,active
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",51143,1911,active
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",1571949,2000,active
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",874716,1983,active
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Northbrook, Illinois",832101,1988,active
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",51253,1958 (1889),active
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",879169,1991,active
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",50863,1968,active
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",896878,1983,active
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",1687229,2012,active
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",51434,1898,active
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1478242,1982,active
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",1699150,1859,active
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire",1020569,1951,active
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",1035267,1995,active
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",749251,1979,active
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",49826,1912,active
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",914208,1935,active
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",52988,1947,active
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",728535,1961,active
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",898293,1966,active
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",833444,1885,active
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",779152,1976,active
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",200406,1886,active
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",19617,2000 (1799 / 1871),active
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",1418135,1981,active
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",91576,1825,active
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",1601046,2014 (1939),active
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",1637459,2015 (1869),active
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",879101,1958,active
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",1404912,1976,active
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",319201,1975/1977 (1997),active
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",55785,1872,active
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1506307,1997,active
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",21344,1886,active
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873,1883,active
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",1944048,2022 (Johnson & Johnson spinoff),active
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",60086,1959,active
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",1336920,1969,active
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",920760,1954,active
LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina",920148,1978,active
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",202058,"2019 (L3 1997, Harris 1895)",active
LII,Lennox International,Industrials,Building Products,"Richardson, Texas",1069202,1895,active
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1707925,1879,active
LITE,Lumentum,Information Technology,Communications Equipment,"San Jose, California",1633978,2015,active
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478,1876,active
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468,1995,active
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",352541,1917,active
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667,1904/1946/1959,active
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",707549,1980,active
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",1397187,1998,active
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",92380,1967,active
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1300514,1988,active
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",1489393,2007,active
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",1335258,2010,active
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",1141391,1966,active
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",912595,1977,active
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286,1927,active
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",62996,1929,active
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",63908,1940,active
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",827054,1989,active
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",927653,1833,active
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1059556,1909,active
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1103982,2012,active
MDT,Medtronic,Health Care,Health Care Equipment,"Galway, Ireland",1613103,1949,active
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",1099219,1868,active
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",1326801,2004,active
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",789570,1986,active
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",63754,1889,active
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",916076,1993,active
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",66740,1902,active
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",865752,2012 (1935),active
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",764180,1985,active
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",1285785,2004 (1865 / 1909),active
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1510295,2009 (1887),active
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",1280452,1997,active
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",310158,1891,active
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",1682852,2010,active
MRSH,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",62709,1905,active
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",895421,1935,active
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York",1408198,1969,active
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",789019,1975,active
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",68505,1928 (2011),active
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",36270,1856,active
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1037646,1945,active
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",723125,1978,active
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami-Dade County, Florida[4]",1513761,2011 (1966),active
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",1120193,1971,active
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",72331,1935,active
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",753308,1984 (1925),active
NEM,Newmont,Materials,Gold,"Denver, Colorado",1164727,1921,active
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",1065280,1997,active
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",1111711,1912,active
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187,1964,active
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia[3]",1133421,"1994 (Northrop 1939, Grumman 1930)",active
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",1373715,2003,active
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1013871,1992,active
NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",702165,1881/1894 (1980),active
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1002047,1992,active
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",73124,1889,active
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",73309,1940,active
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",1045810,1993,active
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",906163,1980,active
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",1564708,2013 (News Corporation 1980),active
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",1564708,2013 (News Corporation 1980),active
